trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
22582,4183,445,344,5
22274,4140,441,343,5
22264,4129,441,343,5
22274,4139,441,343,5
22455,4163,443,344,5
22390,4153,443,344,5
22274,4132,441,343,5
22455,4169,443,344,5
22455,4167,443,344,5
22582,4182,445,344,5
