trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
30970,10960,619,535,2
30983,10965,619,535,2
30970,10963,619,535,2
30978,10965,619,535,2
31003,10975,619,535,2
30965,10965,619,535,2
30973,10966,619,535,2
30969,10967,619,535,2
30984,10970,619,535,2
