trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
15462,969,548,395,0
15688,987,549,408,0
15565,977,548,408,0
15939,987,559,415,0
15454,967,548,395,0
15970,988,563,415,0
15966,987,562,415,0
15462,967,548,395,0
15973,987,563,415,0
15544,974,548,408,0
15461,969,548,397,0
