trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
613,7,13,16,0
1144,10,36,16,0
835,8,24,16,0
326,2,7,10,0
1180,10,36,16,0
1231,10,37,16,0
1265,11,37,16,0
