battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250223T055649.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,87.0,,-5.0,#28VJLP8JGJ,marcos☆♧,16000026.0,BIBI,11.0,460.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,733.0,#YLJGPJLRL,BINGO3.77,16000038.0,SURGE,11.0,701.0,,,,,,,,,,,,,,,,,,
20250223T055349.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,150.0,,13.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,720.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,804.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,720.0,,,,,,,,,,,,,,,,,,
20250223T055044.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,54.0,,12.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,791.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,708.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,791.0,,,,,,,,,,,,,,,,,,
20250223T054918.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,126.0,,11.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,697.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,697.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,779.0,,,,,,,,,,,,,,,,,,
20250223T054649.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,150.0,,10.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,768.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,768.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,687.0,,,,,,,,,,,,,,,,,,
20250223T054353.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,108.0,,9.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,678.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,678.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,758.0,,,,,,,,,,,,,,,,,,
20250223T054139.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,40.0,,8.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,749.0,#20QG8QRY0,ultramurzik,16000050.0,GRIFF,11.0,749.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,670.0,,,,,,,,,,,,,,,,,,
20250223T054027.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,150.0,,-4.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,674.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,674.0,#28QQQV8YJV,RIP_LUFFY1327,16000045.0,STU,10.0,636.0,,,,,,,,,,,,,,,,,,
20250223T053727.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,150.0,,-4.0,#88Q0UYR2J,YouReady?,16000068.0,MAISIE,10.0,637.0,#20QG8QRY0,ultramurzik,16000039.0,COLETTE,11.0,624.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,678.0,,,,,,,,,,,,,,,,,,
20250223T053433.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,100.0,,-4.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,682.0,#Q9R0Q0CR0,popcat🗿,16000026.0,BIBI,10.0,624.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,682.0,,,,,,,,,,,,,,,,,,
