battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250105T204730.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,82.0,,8.0,#LV9QQLR08,nguyentran,16000021.0,GENE,10.0,378.0,#8JYJY298,FruityPebbles,16000035.0,GALE,9.0,375.0,#LV9QQLR08,nguyentran,16000021.0,GENE,10.0,378.0,,,,,,,,,,,,,,,,,,
20250105T204529.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,defeat,73.0,,-3.0,#899YJRU2J,Mr Deathbunny,16000034.0,JACKY,11.0,749.0,#8JYJY298,FruityPebbles,16000004.0,RICO,11.0,743.0,#LV9QQLR08,nguyentran,16000054.0,FANG,10.0,471.0,,,,,,,,,,,,,,,,,,
20250105T204350.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,39.0,,8.0,#LV9QQLR08,nguyentran,16000054.0,FANG,10.0,463.0,#8JYJY298,FruityPebbles,16000004.0,RICO,11.0,732.0,#LV9QQLR08,nguyentran,16000054.0,FANG,10.0,463.0,,,,,,,,,,,,,,,,,,
20250105T204231.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,defeat,123.0,,-3.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,795.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,795.0,#LV9QQLR08,nguyentran,16000054.0,FANG,10.0,466.0,,,,,,,,,,,,,,,,,,
20250105T203952.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,defeat,73.0,,-2.0,#QG2P9Y80J,cris,16000032.0,MAX,11.0,828.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,801.0,#LV9QQLR08,nguyentran,16000012.0,CROW,9.0,384.0,,,,,,,,,,,,,,,,,,
20250105T203742.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,63.0,,9.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,793.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,359.0,#8JYJY298,FruityPebbles,16000003.0,BROCK,11.0,793.0,,,,,,,,,,,,,,,,,,
20250105T203517.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,74.0,,10.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,498.0,#8JYJY298,FruityPebbles,16000021.0,GENE,9.0,412.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,498.0,,,,,,,,,,,,,,,,,,
20250105T203330.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,51.0,,9.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,489.0,#8JYJY298,FruityPebbles,16000021.0,GENE,9.0,401.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,489.0,,,,,,,,,,,,,,,,,,
20250105T203203.000Z,15000902,unknown,Puck Palace,ranked,brawlBall,victory,80.0,,8.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,481.0,#8JYJY298,FruityPebbles,16000021.0,GENE,9.0,391.0,#LV9QQLR08,nguyentran,16000018.0,DARRYL,9.0,481.0,,,,,,,,,,,,,,,,,,
20250105T202931.000Z,15000118,brawlBall,Pinball Dreams,soloRanked,brawlBall,defeat,69.0,,,#2QPCRYCVP2,Aiden,16000020.0,FRANK,11.0,3.0,#2V0Y0RGCL,ironman,16000004.0,RICO,11.0,3.0,#LV9QQLR08,nguyentran,16000026.0,BIBI,9.0,3.0,#L8YJ2VL80,MsTenebres,16000006.0,BARLEY,9.0,3.0,,,,,,,,,,,,
