battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241122T023525.000Z,15000011,gemGrab,Undermine,ranked,gemGrab,defeat,96.0,,-1.0,#GJP0QU2,XarGHOSTgg,16000046.0,BELLE,6.0,137.0,#8JYJY298,FruityPebbles,16000029.0,BEA,5.0,132.0,#98PY8YLQC,idkk,16000049.0,BUZZ,3.0,146.0,#2QCPR0P8YV,ThredNThrash,16000006.0,BARLEY,1.0,135.0,,,,,,,,,,,,
20241122T023357.000Z,15000095,soloShowdown,Stormy Plains,ranked,soloShowdown,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241121T173954.000Z,15000764,gemGrab,Sneaky Sneak,ranked,gemGrab,victory,121.0,,8.0,#8JYJY298,FruityPebbles,16000029.0,BEA,5.0,122.0,#2QYY2J0L9C,Quesito2,16000001.0,COLT,6.0,137.0,#8JYJY298,FruityPebbles,16000029.0,BEA,5.0,122.0,#2QVGUPPCR0,scaryninja,16000014.0,BO,1.0,124.0,,,,,,,,,,,,
20241121T173708.000Z,15000771,knockout,Twilight Passage,ranked,knockout,defeat,91.0,,-1.0,#R0YULLJ0Y,rico,16000087.0,JUJU,7.0,116.0,#8JYJY298,FruityPebbles,16000029.0,BEA,5.0,123.0,#2YG2GLCVC2,Santiago<3,16000079.0,ANGELO,8.0,123.0,#YQC8PLRCC,Ben-U-over904,16000077.0,LARRY & LAWRIE,8.0,123.0,,,,,,,,,,,,
20241121T173456.000Z,15000771,knockout,Twilight Passage,ranked,knockout,victory,65.0,,13.0,#2PC2LJG0UL,nerg0,16000009.0,DYNAMIKE,8.0,191.0,#8JYJY298,FruityPebbles,16000029.0,BEA,5.0,110.0,#2G22GGLUPV,E=Mc2,16000045.0,STU,5.0,22.0,#2PC2LJG0UL,nerg0,16000009.0,DYNAMIKE,8.0,191.0,,,,,,,,,,,,
20241121T173302.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,150.0,,,#8UJ2YGGG,linda,16000007.0,JESSIE,11.0,802.0,#V9QLU9G,M줮L,16000008.0,NITA,10.0,500.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#GC8C8PYJ,tupapawey64,16000038.0,SURGE,9.0,552.0,,,,,,,,,,,,
20241121T172959.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,91.0,,,#2YQC2YYUY,R-Dizzle_Folk,16000020.0,FRANK,11.0,500.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#2YQC2YYUY,R-Dizzle_Folk,16000020.0,FRANK,11.0,500.0,#QU8JCUQ89,friday,16000043.0,EDGAR,11.0,625.0,,,,,,,,,,,,
20241121T172751.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,144.0,,,#RC9P0UL2Q,raiden,16000001.0,COLT,11.0,631.0,#JRCVJ9VUL,tidusSassle,16000026.0,BIBI,11.0,907.0,#JQUJ9CJ8,taticalbacon101,16000011.0,MORTIS,11.0,555.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,,,,,,,,,,,,
20241121T172500.000Z,15000827,unknown,Infernal Invasion,ranked,siege,defeat,138.0,,,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#2Q0RVJUJRY,mario44,16000026.0,BIBI,9.0,581.0,#JP2JJ2PC8,nico,16000047.0,SQUEAK,10.0,448.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,,,,,,,,,,,,
20241121T172143.000Z,15000827,unknown,Infernal Invasion,ranked,siege,victory,150.0,,,#20L8LV02L,AXEL,16000020.0,FRANK,9.0,404.0,#8JYJY298,FruityPebbles,16000030.0,EMZ,9.0,455.0,#9R2PVVQPV,La Chancla,16000043.0,EDGAR,11.0,682.0,#20G9U2UVQ,PERSIVAL,16000011.0,MORTIS,11.0,774.0,,,,,,,,,,,,
