battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies,player_brawler_name
20240612T185705.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,9.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,226,#298C02J,KevinDaBoss,16000043,EDGAR,9,584,,,,,,,,,,,,,,,,,,,
20240612T185553.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,4.0,-2.0,,,,,,,#298C02J,KevinDaBoss,16000007,JESSIE,7,290,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,228,,,,,,,,,,,,,,,,,,,
20240612T185515.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,4.0,-2.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,230,#298C02J,KevinDaBoss,16000007,JESSIE,7,292,,,,,,,,,,,,,,,,,,,
20240612T185328.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,3.0,2.0,,,,,,,#JJVGPCLP,hyperbolu,16000027,8-BIT,1,228,#298C02J,KevinDaBoss,16000007,JESSIE,7,290,,,,,,,,,,,,,,,,,,,
20240612T185011.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,2.0,12.0,,,,,,,#298C02J,KevinDaBoss,16000006,BARLEY,7,273,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,170,,,,,,,,,,,,,,,,,,,
20240612T184724.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,14.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,156,#298C02J,KevinDaBoss,16000006,BARLEY,7,259,,,,,,,,,,,,,,,,,,,
20240612T184518.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,2.0,12.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,144,#298C02J,KevinDaBoss,16000006,BARLEY,7,248,,,,,,,,,,,,,,,,,,,
20240612T184240.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,3.0,3.0,,,,,,,#298C02J,KevinDaBoss,16000006,BARLEY,7,246,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,141,,,,,,,,,,,,,,,,,,,
20240612T184042.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,14.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,127,#298C02J,KevinDaBoss,16000006,BARLEY,7,234,,,,,,,,,,,,,,,,,,,
20240612T183840.000Z,15000034,duoShowdown,Skull Creek,ranked,duoShowdown,,,1.0,13.0,,,,,,,#JJVGPCLP,hyperbolu,16000009,DYNAMIKE,1,114,#298C02J,KevinDaBoss,16000006,BARLEY,7,223,,,,,,,,,,,,,,,,,,,
